關鍵字,分類,回覆目標,建議回覆檔案
作品,作品案例,提供官網作品連結,LINE官方帳號_面板操作規劃.md
案例,作品案例,提供官網作品連結,LINE官方帳號_面板操作規劃.md
實績,作品案例,提供官網作品連結,LINE官方帳號_面板操作規劃.md
預約,預約諮詢,收集客戶基本資料,LINE官方帳號_面板操作規劃.md
諮詢,預約諮詢,收集客戶基本資料,LINE官方帳號_面板操作規劃.md
丈量,預約諮詢,說明丈量費與資料準備,LINE_FAQ_自動回覆草稿.md
價格,收費方式,說明設計費與工程費規則,LINE_FAQ_自動回覆草稿.md
費用,收費方式,說明設計費與工程費規則,LINE_FAQ_自動回覆草稿.md
報價,收費方式,說明不提供精準線上工程報價,LINE_FAQ_自動回覆草稿.md
設計費,收費方式,說明4500元/坪與15坪基本坪數,LINE_FAQ_自動回覆草稿.md
流程,服務流程,說明設計到完工流程,LINE官方帳號_面板操作規劃.md
老屋,老屋翻修,說明老屋翻修評估重點與工期,LINE_FAQ_自動回覆草稿.md
翻修,老屋翻修,說明老屋翻修評估重點與工期,LINE_FAQ_自動回覆草稿.md
新成屋,新成屋,說明新成屋設計與工程時程,LINE_FAQ_自動回覆草稿.md
預售屋,新成屋,說明預售屋/新成屋規劃方向,LINE_FAQ_自動回覆草稿.md
地址,聯絡資訊,提供地址與Google Maps,LINE_FAQ_自動回覆草稿.md
電話,聯絡資訊,提供電話,LINE_FAQ_自動回覆草稿.md
營業時間,聯絡資訊,建議預約諮詢並提供Google商家資訊,LINE_FAQ_自動回覆草稿.md
優惠,LINE優惠,說明本月LINE諮詢優惠需預約確認,LINE_FAQ_自動回覆草稿.md
