日期,時間,行程名稱,類型,關聯案件,地點,負責人,提醒事項,狀態
2026-06-02,待確認,BNI-商空石,BNI/商務,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-02,待確認,藏風景-報價,報價/案件,藏風景,待確認,待確認,截圖尾字略模糊，需確認是否為報價,待確認
2026-06-03,待確認,新文化成安,案件,新文化成安,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-03,待確認,玉山開戶,行政/財務,玉山,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-05,待確認,文化成安（截圖尾端不清）,案件,文化成安,待確認,待確認,右側文字被截斷，需確認完整行程名稱,待確認
2026-06-05,待確認,R5 現場油漆,工程/R5,R5,待確認,待確認,截圖尾字略模糊，需確認施工項目,待確認
2026-06-05,待確認,聯上康橋-待確認,案件,聯上康橋,待確認,待確認,截圖尾字不清，需確認是諮詢/請款/其他事項,待確認
2026-06-06,待確認,微笑城堡 B1,案件,微笑城堡,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-06,待確認,小日村和-待確認,案件,小日村和,待確認,待確認,截圖右側尾端不清，需確認完整行程名稱,待確認
2026-06-08,待確認,郡都 JR 維修,維修/工程,郡都 JR,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-08,待確認,微笑 B5-8 待確認,案件,微笑,待確認,待確認,截圖尾端不清，需確認樓層或範圍,待確認
2026-06-09,待確認,互松對單,行政/對帳,互松,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-09,待確認,清景麟-A1-待確認,案件,清景麟 A1,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-09,待確認,老屋翻新-南,案件,老屋翻新,待確認,待確認,截圖尾端可能被裁切，需確認完整案名,待確認
2026-06-10,待確認,廠商出款,財務/付款,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-10,待確認,交割款 326,財務/交割款,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-10,待確認,富邦三樓,案件/行政,富邦,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-10,待確認,台南-仁傑,案件/客戶,仁傑,台南,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-11,待確認,微笑城堡現場-待確認,案件/現場,微笑城堡,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-11,待確認,BNI 組聚,BNI/商務,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-12,待確認,富邦簽名,行政/文件,富邦,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-12,待確認,交割款 138,財務/交割款,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-12,待確認,BNI：李希 待確認,BNI/商務,,待確認,待確認,截圖尾端不清，需確認完整姓名或事項,待確認
