工作名稱,所屬案件,指派對象,截止日期,優先程度,完成狀態,下一步,備註
關閉公開 GitHub Pages 並保護 repository,MUSE AI OS,管理者,待確認,高,待處理,將 repository 設為 Private 並確認 Pages 存取範圍,目前展示網址不可放正式內部資料
建立資料分級與敏感資料清單,MUSE AI OS,管理者,待確認,高,待處理,區分公開／內部／機密／極機密,涵蓋客戶、財務、合約、作品素材與行程
完成桌機與手機版操作原型,MUSE AI OS,設計與開發,2026-07-16,高,進行中,依測試回饋調整導航與操作流程,目前已完成第一輪導航優化
建立 CRM 可操作 MVP,MUSE AI OS,開發,待確認,高,待處理,設計資料模型與新增／編輯流程,不可只停留在靜態展示
建立案件與待辦可操作 MVP,MUSE AI OS,開發,待確認,高,待處理,加入階段、指派、截止日與逾期判斷,支援桌機與手機
建立登入、角色與欄位權限,MUSE AI OS,開發,待確認,高,待處理,先完成管理者／設計師／助理／工務／財務,正式資料上線前必須完成
建立 API、資料庫與私有檔案儲存,MUSE AI OS,開發,待確認,高,待處理,決定 Cloudflare 或 NAS 的部署基礎,前端不得保存正式資料
建立 AI 草稿與發文審核流程,MUSE AI OS,開發,待確認,中,待處理,加入產生、修改、審核、拒絕與發布紀錄,支援 LINE／Facebook／Instagram／Google 商家
建立 Cloudflare Access 部署方案,MUSE AI OS,管理者與朋友,待確認,中,待處理,設定公司網域、Google 登入、MFA 與裝置限制,可作為 Cloudflare 路線
建立 NAS Docker 與備份方案,MUSE AI OS,管理者與朋友,待確認,中,待處理,確認 NAS 型號、Docker、儲存與異地備份,可作為內部伺服器路線
